hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,4,2015,October,43,19,1,0,2,0,0,BB,RUS,Online TA,Corporate,0,0,0,A,D,0,No Deposit,NULL,47,0,Transient,12,0,0,Check-Out,20-10-2015
Resort Hotel,1,80,2015,September,37,10,1,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,133,0,1,Canceled,15-07-2015
City Hotel,1,323,2015,September,36,5,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,6/7/2015
City Hotel,1,28,2015,August,32,3,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,31-07-2015
Resort Hotel,0,309,2015,September,39,23,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,83,0,2,Check-Out,30-09-2015
City Hotel,0,151,2015,August,34,21,2,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,76.5,0,2,Check-Out,26-08-2015
City Hotel,1,344,2015,September,39,26,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,170,0,0,Canceled,30-06-2015
City Hotel,1,69,2015,September,37,9,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,3/9/2015
Resort Hotel,0,26,2015,September,36,5,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,142,NULL,0,Contract,124.8,0,0,Check-Out,########
City Hotel,0,35,2015,November,48,26,0,3,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,85.5,0,2,Check-Out,29-11-2015
Resort Hotel,1,214,2015,October,40,3,1,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,208,NULL,0,Transient,34,0,0,Canceled,9/6/2015
City Hotel,1,295,2015,August,32,8,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62.8,0,0,Canceled,1/1/2015
Resort Hotel,1,81,2015,December,50,6,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,40.5,0,2,Canceled,17-11-2015
City Hotel,1,335,2015,September,38,17,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,1/1/2015
City Hotel,1,39,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,101.5,0,0,Canceled,6/7/2015
City Hotel,0,98,2015,November,48,23,1,2,1,0,0,BB,EGY,Groups,TA/TO,0,0,0,A,D,0,No Deposit,37,NULL,0,Transient-Party,70,0,0,Check-Out,26-11-2015
Resort Hotel,0,258,2015,September,38,17,0,2,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,A,C,1,No Deposit,245,NULL,0,Transient-Party,78.3,0,1,Check-Out,19-09-2015
City Hotel,0,83,2015,September,39,23,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Check-Out,25-09-2015
City Hotel,1,55,2015,September,37,6,2,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,75,0,0,Canceled,5/9/2015
City Hotel,1,6,2015,December,50,10,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,0,0,0,Canceled,########
Resort Hotel,0,13,2015,October,41,7,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,58,0,0,Check-Out,########
City Hotel,0,0,2015,October,42,11,1,0,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,0,Check-Out,########
Resort Hotel,0,44,2015,December,52,26,2,2,2,1,0,HB,FRA,Direct,Direct,0,0,0,H,H,2,No Deposit,250,NULL,0,Transient,143.5,1,0,Check-Out,30-12-2015
Resort Hotel,0,277,2015,October,41,6,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,2,No Deposit,273,NULL,0,Transient-Party,67.31,0,0,Check-Out,13-10-2015
Resort Hotel,0,13,2015,December,51,13,2,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,2,NULL,0,Transient,25,0,1,Check-Out,17-12-2015
City Hotel,0,219,2015,September,36,4,1,2,1,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient-Party,76.67,0,0,Check-Out,7/9/2015
City Hotel,1,11,2015,September,39,26,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,C,C,0,No Deposit,9,NULL,0,Contract,212,0,1,Canceled,21-09-2015
City Hotel,1,39,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,101.5,0,0,Canceled,6/7/2015
City Hotel,1,292,2015,August,32,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2/7/2015
City Hotel,1,98,2015,November,48,23,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37,NULL,0,Transient-Party,70,0,0,Canceled,19-11-2015
City Hotel,1,344,2015,September,39,26,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1,NULL,0,Transient,170,0,0,Canceled,9/9/2015
City Hotel,0,39,2015,August,33,14,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,16-08-2015
City Hotel,0,140,2015,November,47,18,0,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,29,NULL,87,Transient-Party,65,0,0,Check-Out,21-11-2015
City Hotel,0,14,2015,September,36,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,74.61,0,2,Check-Out,9/9/2015
City Hotel,0,17,2015,September,39,26,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,170,0,0,Check-Out,30-09-2015
City Hotel,0,120,2015,August,34,20,2,5,2,0,1,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,13,NULL,0,Transient-Party,88.38,0,4,Check-Out,27-08-2015
City Hotel,1,290,2015,August,32,3,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,6/7/2015
City Hotel,1,38,2015,October,43,22,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,9,NULL,0,Contract,105.3,0,1,Canceled,20-10-2015
Resort Hotel,0,3,2015,August,32,6,2,4,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,181.5,0,3,Check-Out,########
Resort Hotel,1,114,2015,July,31,26,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,243,NULL,0,Contract,88.4,0,1,Canceled,########
Resort Hotel,0,112,2015,December,53,30,0,3,2,0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,224.67,0,0,Check-Out,2/1/2016
City Hotel,1,297,2015,August,33,10,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2/7/2015
City Hotel,1,262,2015,November,46,9,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,62.8,0,0,Canceled,4/9/2015
Resort Hotel,1,44,2015,December,49,5,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient-Party,70,0,0,Canceled,30-11-2015
Resort Hotel,0,24,2015,July,30,23,2,5,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,NULL,0,Transient,179,0,1,Check-Out,30-07-2015
Resort Hotel,1,46,2015,December,49,5,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115,NULL,0,Transient,26.1,0,1,No-Show,########
City Hotel,0,10,2015,December,49,5,2,1,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,8,NULL,0,Transient,79.39,0,1,Check-Out,########
City Hotel,1,92,2015,August,32,7,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,76.5,0,2,Canceled,25-07-2015
Resort Hotel,0,17,2015,December,49,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,61.2,0,1,Check-Out,########
Resort Hotel,1,97,2015,September,36,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,120.71,0,0,Canceled,6/6/2015
Resort Hotel,0,9,2015,July,29,13,1,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,161,1,2,Check-Out,15-07-2015
City Hotel,0,37,2015,October,43,23,2,2,2,0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,85.5,0,0,Check-Out,27-10-2015
City Hotel,0,74,2015,September,38,18,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,20-09-2015
Resort Hotel,0,30,2015,August,33,15,2,1,2,0,0,BB,ITA,Corporate,Corporate,0,0,0,E,F,0,No Deposit,NULL,268,0,Transient,154.8,0,1,Check-Out,18-08-2015
Resort Hotel,0,0,2015,November,48,23,1,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,40,0,2,Check-Out,26-11-2015
City Hotel,0,327,2015,September,37,9,2,4,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,21,NULL,0,Transient-Party,76,0,0,Check-Out,15-09-2015
City Hotel,0,12,2015,December,49,5,1,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient,55,0,1,Check-Out,########
Resort Hotel,0,43,2015,July,30,24,2,7,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,166,0,0,Check-Out,2/8/2015
Resort Hotel,0,24,2015,November,47,21,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,NULL,342,0,Transient-Party,32,0,0,Check-Out,22-11-2015
Resort Hotel,0,185,2015,September,39,21,1,1,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,A,C,0,No Deposit,208,NULL,0,Transient-Party,90,0,0,Check-Out,23-09-2015
Resort Hotel,1,202,2015,September,36,1,2,8,2,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,No Deposit,156,NULL,0,Contract,55.68,0,1,Canceled,########
Resort Hotel,0,2,2015,October,42,14,0,1,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,42.3,0,1,Check-Out,15-10-2015
City Hotel,1,193,2015,October,42,15,0,3,2,0,0,BB,NULL,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12,NULL,0,Transient,65,0,0,Canceled,16-09-2015
City Hotel,1,267,2015,July,28,11,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62.8,0,0,Canceled,1/1/2015
City Hotel,1,87,2015,September,39,25,2,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,170,0,0,Canceled,9/9/2015
Resort Hotel,0,31,2015,October,41,6,1,5,2,2,0,BB,ZAF,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,96.67,1,0,Check-Out,########
City Hotel,1,19,2015,December,49,5,2,1,2,0,0,BB,PRT,Online TA,TA/TO,1,1,0,A,A,0,No Deposit,10,NULL,0,Transient,69,0,0,Canceled,16-11-2015
City Hotel,0,28,2015,October,42,12,1,1,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,95.95,0,2,Check-Out,14-10-2015
City Hotel,1,6,2015,September,39,20,2,0,2,0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,Non Refund,78,NULL,0,Transient,100,0,0,Canceled,15-09-2015
City Hotel,0,5,2015,December,51,17,0,2,2,0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,69,0,0,Check-Out,19-12-2015
Resort Hotel,0,287,2015,October,42,15,1,3,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,223,0,Transient-Party,46.5,0,0,Check-Out,19-10-2015
Resort Hotel,0,46,2015,July,31,27,1,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,133,0,0,Check-Out,2/8/2015
City Hotel,1,98,2015,December,52,26,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,8,NULL,0,Transient,118,0,1,Canceled,24-09-2015
Resort Hotel,0,205,2015,September,36,3,2,8,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,82.35,0,0,Check-Out,13-09-2015
City Hotel,0,0,2015,November,45,1,1,0,2,0,0,BB,CRI,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,95,0,1,Check-Out,########
City Hotel,0,32,2015,November,46,14,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,96.3,0,3,Check-Out,15-11-2015
