hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,40,2017,March,13,28,4,10,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,97.36,0,1,Check-Out,########
City Hotel,1,171,2017,June,24,17,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,262,NULL,0,Transient,89.1,0,0,Canceled,28-12-2016
City Hotel,0,104,2017,May,19,11,0,3,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,147,0,1,Check-Out,14-05-2017
City Hotel,0,153,2017,May,18,5,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,1,Check-Out,7/5/2017
City Hotel,1,150,2017,June,24,17,2,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,120,0,0,Canceled,18-01-2017
Resort Hotel,0,2,2017,June,26,29,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,65,1,0,Check-Out,30-06-2017
City Hotel,0,0,2017,April,14,6,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,117,0,1,Check-Out,9/4/2017
City Hotel,1,276,2017,February,7,17,0,1,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,153.9,0,0,Canceled,6/2/2017
City Hotel,0,26,2017,June,23,10,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,144,0,1,Check-Out,########
Resort Hotel,0,15,2017,February,7,17,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,467,NULL,0,Transient,39.74,0,0,Check-Out,22-02-2017
City Hotel,1,407,2017,May,18,6,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0,Canceled,17-04-2016
City Hotel,0,8,2017,July,30,27,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,40,0,Transient,65,0,0,Check-Out,28-07-2017
City Hotel,1,301,2017,June,25,19,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,126.9,0,2,Canceled,13-02-2017
Resort Hotel,0,43,2017,August,32,7,2,5,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,270,0,2,Check-Out,14-08-2017
Resort Hotel,0,0,2017,April,15,9,2,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient-Party,90,0,1,Check-Out,########
City Hotel,0,138,2017,August,34,20,2,0,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,164,0,1,Check-Out,22-08-2017
City Hotel,0,158,2017,March,13,27,1,1,1,0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37,NULL,0,Transient-Party,95,0,0,Check-Out,29-03-2017
City Hotel,0,116,2017,March,12,24,0,2,1,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,171,NULL,0,Transient-Party,90,0,0,Check-Out,26-03-2017
City Hotel,0,72,2017,March,12,20,1,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,106.2,0,2,Check-Out,23-03-2017
City Hotel,0,76,2017,January,1,2,1,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,119,0,1,Check-Out,6/1/2017
City Hotel,0,13,2017,July,29,22,2,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,199.5,0,1,Check-Out,26-07-2017
Resort Hotel,0,93,2017,May,19,7,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,40,NULL,0,Contract,82.86,0,0,Check-Out,14-05-2017
Resort Hotel,1,42,2017,May,22,30,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,468,NULL,0,Transient,86.1,0,0,Canceled,18-04-2017
City Hotel,0,66,2017,March,11,17,1,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,79.2,0,0,Check-Out,20-03-2017
City Hotel,1,96,2017,April,17,26,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,NULL,0,Transient,130,0,0,Canceled,20-01-2017
City Hotel,1,113,2017,May,20,20,2,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,34,NULL,0,Transient,190,0,0,Canceled,27-01-2017
Resort Hotel,1,60,2017,August,35,30,1,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,178,0,0,Canceled,1/7/2017
City Hotel,1,29,2017,August,32,11,2,2,2,0,0,SC,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,0,Canceled,18-07-2017
City Hotel,0,273,2017,July,27,4,0,4,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,89.1,0,1,Check-Out,8/7/2017
Resort Hotel,0,16,2017,February,8,25,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient-Party,54,0,1,Check-Out,27-02-2017
City Hotel,0,59,2017,June,25,19,1,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,129.2,0,1,Check-Out,23-06-2017
City Hotel,0,110,2017,March,13,27,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,27,NULL,0,Transient,72,0,1,Check-Out,31-03-2017
City Hotel,1,165,2017,May,20,19,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,225,0,0,Canceled,########
Resort Hotel,1,57,2017,March,10,11,2,5,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298,NULL,0,Transient-Party,64,0,0,Canceled,9/2/2017
City Hotel,0,9,2017,March,12,19,2,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,8,NULL,0,Transient,108.8,0,0,Check-Out,24-03-2017
City Hotel,1,79,2017,March,9,2,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,97.2,0,1,Canceled,19-02-2017
City Hotel,1,99,2017,April,17,27,0,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0,Canceled,14-02-2017
City Hotel,1,38,2017,January,2,14,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,NULL,67,0,Transient,75,0,0,Canceled,########
City Hotel,1,148,2017,May,18,4,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,171,NULL,0,Transient,95,0,0,Canceled,########
Resort Hotel,0,19,2017,February,6,9,2,5,1,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,171,NULL,0,Transient,43.71,0,0,Check-Out,16-02-2017
City Hotel,0,221,2017,May,20,15,1,1,2,0,0,BB,MEX,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,NULL,0,Transient,99,0,0,Check-Out,17-05-2017
City Hotel,0,82,2017,April,14,8,2,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,129.97,0,3,Check-Out,########
City Hotel,0,22,2017,March,9,1,0,4,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,67.15,0,1,Check-Out,5/3/2017
City Hotel,1,144,2017,April,16,17,1,3,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0,Canceled,24-11-2016
City Hotel,0,18,2017,May,20,16,0,1,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,131.5,0,1,Check-Out,17-05-2017
City Hotel,0,41,2017,April,17,26,0,1,1,0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,280,0,Transient-Party,110,0,0,Check-Out,27-04-2017
City Hotel,1,8,2017,August,31,5,0,1,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,230,0,1,Canceled,28-07-2017
City Hotel,0,88,2017,June,26,28,0,4,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,120,0,1,Check-Out,2/7/2017
Resort Hotel,0,1,2017,January,2,12,0,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,34,0,0,Check-Out,13-01-2017
City Hotel,0,134,2017,February,8,25,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30,NULL,0,Transient-Party,75,0,0,Check-Out,26-02-2017
City Hotel,1,174,2017,June,22,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,110,0,0,Canceled,########
Resort Hotel,1,223,2017,April,14,7,2,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,96,0,2,Canceled,26-02-2017
City Hotel,0,78,2017,January,4,25,0,3,1,0,0,BB,LTU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,NULL,365,0,Transient-Party,85,0,0,Check-Out,28-01-2017
City Hotel,0,261,2017,August,32,8,0,1,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,164.6,0,3,Check-Out,9/8/2017
Resort Hotel,0,0,2017,July,28,9,1,0,1,0,0,BB,USA,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,160,0,0,Check-Out,########
City Hotel,0,179,2017,July,29,17,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,98.1,0,0,Check-Out,18-07-2017
City Hotel,0,17,2017,February,5,3,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,94.4,0,1,Check-Out,6/2/2017
Resort Hotel,0,0,2017,January,1,5,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,44,0,0,Check-Out,6/1/2017
City Hotel,0,8,2017,January,1,7,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,84.69,0,1,Check-Out,########
City Hotel,1,307,2017,August,31,2,2,5,2,0,0,HB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,154.8,0,2,Canceled,########
City Hotel,1,76,2017,April,14,4,4,12,3,0,0,HB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,194.06,0,3,Canceled,20-02-2017
City Hotel,0,1,2017,February,7,14,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,NULL,NULL,0,Transient,98,0,2,Check-Out,15-02-2017
City Hotel,0,121,2017,April,14,7,1,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,99,0,1,Check-Out,########
Resort Hotel,0,40,2017,June,23,5,1,3,2,0,0,BB,CN,Direct,Direct,0,0,0,G,G,2,No Deposit,250,NULL,0,Transient,231.5,1,0,Check-Out,9/6/2017
Resort Hotel,0,106,2017,August,31,1,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,118.5,0,0,Check-Out,8/8/2017
City Hotel,1,137,2017,April,15,15,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,135,0,1,Canceled,21-02-2017
City Hotel,0,448,2017,June,24,17,2,1,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,20-06-2017
Resort Hotel,1,335,2017,July,27,4,4,10,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,192.57,0,0,Canceled,3/8/2016
City Hotel,0,44,2017,January,3,15,4,8,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,96.91,0,1,Check-Out,27-01-2017
Resort Hotel,1,220,2017,May,21,22,3,7,2,0,0,HB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,86.5,0,0,Canceled,3/4/2017
City Hotel,1,101,2017,June,26,30,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,171,0,0,Canceled,24-04-2017
City Hotel,0,250,2017,August,31,4,2,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,107.1,0,1,Check-Out,9/8/2017
City Hotel,1,133,2017,April,17,23,2,0,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,166.5,0,2,Canceled,########
Resort Hotel,1,102,2017,March,13,26,2,1,1,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,495,NULL,0,Transient,39.33,0,0,Canceled,23-12-2016
City Hotel,0,6,2017,March,11,13,1,0,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,98,0,1,Check-Out,14-03-2017
City Hotel,0,11,2017,March,10,7,0,2,1,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,441,NULL,0,Transient-Party,130,0,2,Check-Out,9/3/2017
City Hotel,0,4,2017,April,17,28,0,1,2,0,0,SC,GBR,Online TA,Direct,0,0,0,A,F,0,No Deposit,NULL,NULL,0,Transient,130,0,0,Check-Out,29-04-2017
City Hotel,1,136,2017,July,30,27,1,3,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,142.38,0,0,Canceled,########
City Hotel,0,0,2017,March,9,2,0,2,2,2,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,113,0,0,Check-Out,4/3/2017
City Hotel,0,149,2017,June,25,24,0,1,2,0,0,HB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,495,NULL,0,Transient-Party,154,0,1,Check-Out,25-06-2017
City Hotel,0,47,2017,March,10,6,1,3,2,0,0,BB,DNK,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,79.2,0,0,Check-Out,########
City Hotel,1,184,2017,April,17,23,2,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,171,NULL,49,Transient,90,0,0,Canceled,########
City Hotel,0,54,2017,April,15,15,2,2,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,184.5,1,0,Check-Out,19-04-2017
Resort Hotel,0,89,2017,July,28,13,0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,201.67,0,1,Check-Out,16-07-2017
